,category_name,parent_cat_name,Entity,complaint words,output sequence,complaint_description,predicted_label
317,Threats and Other Crimes,Crime and Safety,vendor,bribes from vendors,"28,29,30,31 ","Dear Sir / Madam ,\n\nIts is been observed by most of the residents of Bhuvaneshwari nagar that Police Cops and officers of Hoysala and Police department collecting bribes from Vendors( i e Tender Coconut ) who are doing business for their livelihood . This seems to be pathetic and most of the civilians don\'t have good respect to the Police department . Please look in to this issue as this is leading to Corruption . \n\nI would be uploading the Registration Number of Hoysala Jeep very soon . \n\nRegards\nLokesh",Hawkers and Vendors
318,Diseases,Garbage and Unsanitary Practices,garbage,garbage dumped,"1,2,3,4 ",Garbage dumped on footpath and urinal passing on footpath.,Garbage
319,Potholes,Maintenance of Roads and Footpaths,Pothole,road potholes,"10,11,12",Road connecting from Austin town to Richmond road is full of potholes .,Potholes
320,Diseases,Garbage and Unsanitary Practices,garbage,garbage dumped,"1,2 ",Garbage dumped on road,Garbage
321,Diseases,Garbage and Unsanitary Practices,garbage,garbage dumped,"1,2 ",Garbage dumped in one site and urinal passing on the site and roads,Garbage
322,Diseases,Garbage and Unsanitary Practices,garbage,garbage dumped,"1,2 ",Garbage dumped on road,Garbage
323,Diseases,Garbage and Unsanitary Practices,garbage,garbage dumped,"1,2 ",Garbage dumped in front of Hindi Sabha,Garbage
324,Diseases,Garbage and Unsanitary Practices,garbage,waste dumped,"1,2 ",Waste dumped in school entrance,Garbage
325,Diseases,Garbage and Unsanitary Practices,garbage,garbage dump,"1,2 ",Garbage dump next to maternity hospital & illegale parking too,Garbage
326,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"22,22","This is to bring to your notice that from Gottigere busstop to NICE Road junction there are nearly more than 80-100 potholes which are not fixed since 4-5 months. BWSSB dug up the road and never asphalted it, leaving the road in such a bad shape that vehicles literally crawl everyday. The potholes are so dangerous that every day at least 10 bikers and 5 autos fall, which is too vulnerable for accidents.  Adding to it, the road from Lal Bahdur shastri nagar has opened which causes more traffic jam near the nice road junction, and no traffic police will come and clear the mess. Request concerned officials immediately asphalt the road properly, just fixing potholes will not serve the cause.",Potholes
327,Bad Roads,Maintenance of Roads and Footpaths,roads,road condition poor,"19,20,21,22 ","From JP Nagar signal, through Brand Factory, and upto IIM Bangalore, the road condition is very poor. Several potholes on the road in this stretch. In the opposite side as well, from Honeywell, all along the Bilekahalli bus stop stretch, till Bilekahalli signal the road is in a crumbling state with mostly loose stones.",Potholes
328,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"20,21,22,23,24,25,26","At the left turn from service on Sarjapur Road(along St. Johns Hospital) onto 100 ft road, there is a very huge pothole making traffic very slow and is very dangerous for two wheelers coming onto merging traffic.",Traffic
329,Flooding of Roads and Footpaths,Maintenance of Roads and Footpaths,footpath,footpath,"5,5",This is condition of footpath in the heart of basaveshwarnagar circle from several months. This ward 105 havent done anything yet even after calling so many times to the office not a reply or repair. We are the commercial shop owners on this road. We see many young and old people falling apart on this dangerous footbath. Some department has to take action immediately or bangalore gonna be soon faithless city!,Footpaths
330,Bad Roads,Maintenance of Roads and Footpaths,roads,road in bad shape,"9,11,12,13,14,15","I live in 85/1,Manujunath reddy layout,Munekolala and the roads here are in very bad shape including the SGR dental college road. The streets which leads to our apartments are also in very bad shape, in Rainy days we have to face lots of difficulties to reach our apartments by walk and two-wheeler. I dont think the situation can get any more worse as it is already in worst condition. Please do the needful as soon as possible. As an interim measure leveling the road and a layering of Graval - Jalli will help.",Bad Roads
331,Bad Roads,Maintenance of Roads and Footpaths,roads,road in bad state,"9,10,11,12,13,14,15,16,17,18,19,20,21,22","Hi,\n   The Bellandur Doddakanneli road is currently is a very bad state with many huge craters and potholes which are death traps for common people who commute by 2- wheeler. It is increasingly becoming a health hazard for many who commute via this route daily. Please get some attention to this road and fill up the potholes or repair the entire stretch.",Potholes
332,Traffic,Traffic and Road Safety,roads,road bad,"2,9 ","Hi,nthe road between Panathur- Varthur is so bad.Especially near the bellandur railway underbridge, it is very narrow.KIndly widem it as soon as possible.",Bad Roads
333,Bad Roads,Maintenance of Roads and Footpaths,Pothole,potholes,"13,14,15","This road connecting garudachar palya and graphite India behind brigade metropolis is full of potholes and only mud road available now.This is never repaired and its very hard to commute in this road,especially during rainy season.Please lay a road here .",Potholes
334,Bad Roads,Maintenance of Roads and Footpaths,Pothole,potholes,"15,16,17 ",The road under the flyover which connects mahadevpura bus-stop and the Whitefield road is full of potholes and very narrow space to pass .Even though there is huge space which is full of dirt and parking. This can easily cleared and make a road after widening which helps in reducing the traffic jams,Garbage
335,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"5,5",We need relief of garbage thrown in opposite land.pls take action same given to HSR layout,Garbage
336,Traffic,Traffic and Road Safety,traffic,traffic jam is increasing,"36,37,38,39 ","Since last one month Signal durations are changed in silkboard during the evening peak hours (after 4.30). Due to which vehicles are piled up from HSR junction itself(Towards silkboard from ITPL). Day by day the traffic jam is increasing in the junction.\n\nIt takes ~20mins to cross the junction from HSR signal.\n\nRequest to kindly look in to this & do the needfull.\n\nThanks in advance,\n\nSuhas",Traffic
337,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"4,5,6,7 ","I have been attacked by stray dogs at night in my neighborhood (areas include MM Layout, Indain Oil petrol pump in Kavalbyrasandra, Kavalbyrasandra bus stand). I have also seen bile riders falling off their bikes because of these stray dogs attacking them. I request the BBMP officials to take care of this issue at the earliest. Please Provide any details of the concerned authorities so that I can talk to them.",Stray Dogs
338,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"2,3,4,5,6,7,8 ","Public Road is being used to collect garbage and making public suffer.\nLadies, Children\'s, working women, senior citizens cannot walk on the road.",Garbage
339,BMTC - Others,Public Transport - BMTC,bus,buses at regular intervals,"25,26,27,28,29",The buses that I usually travel in do not come to the stop on time on most days. Request BMTC to ensure that the buses arrive at regular intervals.,BMTC - Others
340,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"6,7 ","There are a handful of stray dogs in my area that are terrorizing young ones and senior citizens. The problem has grown to such an extent that our children refuse to go outdoors on their own. We made a few calls (BBMP helpline, animal rescue units etc.) and realised this:\n1) BBMP is unable to solve this problem.\n2) Even if they attempt to, they can only sterilize the dogs and release them back in the same area. I am not sure if that will solve the problem we face.\n3) The animal welfare NGOs can only \""rescue\"" the dogs if they are injured. They do not \""rescue\"" citizens if they are troubled by the stray dogs\n4) This one takes the cake. If you injure the dogs while defending your family, an FIR will be lodged against you. But there is no authority that will lodge an FIR against the dogs for terrorizing the citizens.",Stray Dogs
341,Garbage,Garbage and Unsanitary Practices,garbage,no garbage collection,"1,2 ",Garbage collection has not been happening regularly at my area for many days. I request BBMP to look into this matter.,Garbage
342,BMTC - Others,Public Transport - BMTC,bus,buses at regular intervals,"1,2,3,4,5,6,7,8","Buses do not arrive or leave on time in my area, causing inconvenience to all the commuters. I would like BMTC to ensure that this does not happen.",BMTC - Others
343,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"5,6 ",There are too many stray dogs in our locality.  Please help in putting a check on them and also help in sterilize them,Stray Dogs
344,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"3,4,5,6 ","There are lot of dogs in Varthur patel layout 10th cross. This is getting dangerous to school going kids and chasing them often. Any urgent attention to clear these stray dogs and move them from this area will help. No point in just controlling their generations, they have to be moved out of the area.",Stray Dogs
345,Stray Dogs,"Stray Animals, Insects",stray dogs,sterlize stray dogs,"11,12,13,14 ","Before it becomes too late, I would like BBMP to sterilize the stray dogs in my area.",Stray Dogs
346,Garbage,Garbage and Unsanitary Practices,garbage,garbage piled,"2,3,4",This garbage gets plied up and due to rains the stench is getting bad to worse and almost covering up the entire road,Garbage
347,Bad Roads,Maintenance of Roads and Footpaths,roads,road damaged,"2,11,12","Connecting roads in Mallathahalli, Which leads to main road is completley damaged and becomes nightmare to travel when it rains, Could the concerned officials attend this problem at the earliest?",Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover
348,Bad Roads,Maintenance of Roads and Footpaths,roads,road damaged,"2,10,11",The main road of RTO in Ullalu Upanagar is completely damaged and its been like this for a long time now. I request the concerned officer to address the issue at the earliest.,Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover
349,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"18,19,20,21,22",My residence in GM NEST APARTMENTS Is adjacent to Bright School ASWATH NAGAR THANISANDRA MAIN ROAD. The road has many beautiful potholes which are being defaced by bits of tar and stones. Please send someone to break these pieces so that the road can be converted into a water canal and swimming pool in rainy season.,Potholes
350,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,2 ",Garbage thrown on the Road just behind market yard,Garbage
351,Bad Roads,Maintenance of Roads and Footpaths,Pothole,potholes,1.2.3,So many potholes at Johnson market road because of road cutting and maintenance.,Potholes
352,Stray Dogs,"Stray Animals, Insects",stray dogs,Stray dogs,"1,2,3,4 ","Too many stray dogs in location, always trying to chase two wheelers and toddlers cant play outside due to fear",Stray Dogs
353,Stray Dogs,"Stray Animals, Insects",stray dogs,Stray dogs,"7,7 ","Sir,\nThere are more than 14 dogs near my house. Even last year I have written in ICMyC and action was taken. But they caught 2 out of 13 dogs and let off 1 because I have given only Rs. 100 for their coffee cost. They demanded Rs. 500",Stray Dogs
354,Traffic,Traffic and Road Safety,traffic,heavy raffic,"4,2",Everyday traffic is heavy at Maruti sevanagar bridge and the bridge is very small and its two way. most of the people are facing problem due to heavy traffic.,Traffic
355,Potholes,Maintenance of Roads and Footpaths,roads,tar road,"2,3,4","Please tar the road, in the entrance of Tulasi Theatre Road.",Bad Roads
356,Flooding of Roads and Footpaths,Maintenance of Roads and Footpaths,water,sanitary water from manhole,"1,2,3,4 ",Sanitary Water from Manhole are being let out on JC road and also on surrounding areas near Lalbagh and also near Lion Eye Hospital and on J.C.Road opp SBI. The smell is unbearable for all road users.,Manholes
357,Stray Dogs,"Stray Animals, Insects",dog,street dogs,"15 ,16 ,17 ,18 ,19 ,20 ,21, 22 ,23, 24 ,25, 26 ,27 ,28, 29 ,30 ,31 ,32","Here in Doddathogur, Green House layout, Electronic city, Bangalore-100 have a big number of street dogs and have a very high risk of them attacking us and also in Night they bark so much that we don\'t get sleep at all. Please do help us from this. \n\nMain they will get together at night times and make our night horrible. Please help us from this street dogs. \n\nAlso, three are lots of monkeys which is much more dangerous and threat for kids playing around.\n\nwe have given the complaint on these issues several times to respective dept. and to our area corporator Chandrashekariah, however it is of no use. The corporator will bee seen only during election times as usual and with false promises.\n\nLooking forward for your help ASAP.\n\nRegards,\nArea Members",Stray Dogs
358,Bad Roads,Maintenance of Roads and Footpaths,roads,road not good,"1,10,11","Road from kundalahalli gate signal to manjunatha layout is not good from many days , i have raised a complaint already in consumer complaints website, still need quick fix before rain starts eroding the road",Need New Toilets 
359,Footpaths,Maintenance of Roads and Footpaths,drain,drainage open,"14,23,24","Respected Sir, I would like to bring this to your notice that the drainage (5X5 feet approx) next to my compound is left open. The other part of the drainage is covered and is used as a foot path having gaps in between, which is enough for a person to fall. During monsoon this area being low lying gets submerged under water causing grave danger to the pedestrian, who mistakenly walk on this path which may be fatal. Request you to kindly take necessary action to avoid any accidents.",No Sewage Drains
360,Footpaths,Maintenance of Roads and Footpaths,footpath,no footpath,"10,11 ",Walking on Hosa road towards Kaikondrahalli is a nightmare. No Footpath at all!!. Roads are narrow with lots of HTVs. A footpath or an alterante route needs to be provided,Footpaths
361,Water Supply and Services - Others,Water Supply and Services,water,water contaminated with drainage,"2,3,4,5,6","The water is contaminated with drainage. The water pine line which ends at the corner of the road is closed by the wooden block instead of a nut. What talked to the officer, he said that the WSSB does not material(nut) to close the pipe. We have this problem from last several months.",No Sewage Drains
362,Potholes,Maintenance of Roads and Footpaths,roads,roads worst,"2,3,4,5,6,7,8,9,10,11",The road is too worst and its all ups & downs. All ditches to the road along the way The road will be always busy and lot of commuters will use this road since its the only road that connects Bhannerghatta & BTM lake road which is short cut route. Please make this road proper and it will be helpful to all commuters in this rainy season,Desilting - Lakes
363,Others,Others,footpath,footpath unusable,"31,32,33,34","Dear Sir, The road starting from Forum mall towards BTM 16th main via taverekere main road. Footpaths has been built with extra care with using public money. Now the complete footpaths are not usable due to huge encroachment due to local business people who are utilizing this area for small shops. Please remove these shops and give space to walk. This is highly populated and dense area. all the time traffic flow is very huge so people who walks in this road posses huge risk on their life.",Traffic
364,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"6,7 ","There are nearly around 12-15 stray dogs in the area that we reside in that is Subbanna Garden, Ward #35. At night times they howl so much that the sleep hours are disturbed. It would be good if the stary dogs are picked up. Even if people walk in they run behind the people to bite them. So it would be good if this issue is taken care since there are so many working professionals who come back tired after work.",Stray Dogs
365,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"11,12,13",After multiple complaints also we are not able to get rid of Garbage in front of our home. & we get Water only after 11 PM.,Garbage
366,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"6,7,8,9 ","Offlate i have seen a lot of stray dogs atleast 10 in a group in the bbmp ward no 165, near the devagiri temple area. I have been able to take photo yet, i will do it soon. Its big threat to the people living around that area specially to the kids who come for swimming in the round the corner.",Stray Dogs
367,Traffic,Traffic and Road Safety,roads,road side selling,"10,11,12",In last few days I am seeing so many road side selling has started in ring road.  On what ground traffic police allowing this I don\'t understand. These make shift shops are causing slow down in traffic and also taking road space.  The police shold make ring road free from such hawkers.,Traffic
368,Broken Storm Water Drains,Sewage and Storm Water Drains,drain,drainage left open,"1,2,3,4 ",Drianage slab left open,Air Pollution
369,Stray Dogs,"Stray Animals, Insects",dog,strret dogs,"4,5,6,7,8",We are finding more number of street dogs and it\'s breeding themselves and we can\'t able to walk around streets please make some serious action on this complaint thank you,Stray Dogs
370,Stray Dogs,"Stray Animals, Insects",dog,dogs murmering,"10,11,12",In Lakkasandra 15th cross deadend there are somuch of dogs are murmering through out night and we cannot sleep... So please catch that dogs take them away from here.. Please....,Stray Dogs
371,BMTC - Others,Public Transport - BMTC,bus,no buses,"3,5",There is no. G2 buses in the morning between 7 to 7:40 am \nIt is very diffcult to go towards mg road\nIt gives a lot trouble to school children\'s,Air Pollution
372,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"2,3 ",5 stray dogs and breeding fast. Extremely violent . Need help,Stray Dogs
373,Repair of streetlights,Maintenance of Roads and Footpaths,street light,no proper streetlight,"11,12,13,14 ",We stay in magadi road 3rd cross were there is no proper street light in which women can t walk through i am watching from past 3months i have complained bescom people also still no action,Need New Streetlights
374,Stray Dogs,"Stray Animals, Insects",dog,dogs in night,"4,4",Too many unneutered dogs trying to attack and creating disturbance at nights,Stray Dogs
375,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"4,5","There are 3 stray dogs in the 13th main , industries and commerce layout, Vijay nagar which attack and chase down most of the two wheelers and also small kids who will be playing . people are so scared that the flower/vegetable vendors hesitate to come to the road . It is creating a lot of trouble for the localites",Stray Dogs
376,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"4,5","There are 3 stray dogs in the 13th main , industries and commerce layout, Vijay nagar which attack and chase down most of the two wheelers and also small kids who will be playing . people are so scared that the flower/vegetable vendors hesitate to come to the road . It is creating a lot of trouble for the localites",Stray Dogs
377,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dog attack,"3,4,5,6,7,8 ",Every day one stray dog trying to attack on me.\neven though I try to avoid that dog still its trying to attack me.,Stray Dogs
378,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dog,"4,5,6,7,8,9","There is this white stray dog which bites every guest or newbie or people like  postman, delivery boys etc in 9th cross ,2nd main padmanabhanagar bsk2nd stage -560070 ... Complained so many times to bbmp .. No Action taken .. They say they will only give treatment and drop it back..",Stray Dogs
379,Stray Dogs,"Stray Animals, Insects",dog,dogs running on vehicles,"32,33,34,35,36,37","Location : BTM , stage 2 , Near micro layout police station ,Bangalore.\n\nIssue : It really tough to go by vehicles in these sourrounding areas , While going lot of dogs are running back to vehicles and many accidents are happened due to this(Especially during nights)",Stray Dogs
380,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"3,4 ","Too many stray dog in our locality Over 20+ in just two roads. \nOver 7 dog bite incident in last 3 weeks. \nLocality: 2nd & 3rd cross ITI layout 3rd phase , Opp R R Nagar ARCH. Mysore road. \nIts getting tougher to even walk on the roads.\nPlease catch these dogs and help us to feel releaved",Stray Dogs
381,Lakes - Others,Lakes,lake,lake in bad condition,"54,55,56,57,58,59","Dear Sir,\n\nWe are resident of Reliable Lakedew Residency, layout adajacent to Haralur Lake. 2-3 years back  authorities have started Haralur lake renovation work . But after partial renovation work Haralur Lake development  has been  Abondened. Thay have removed our layout fancing ( new fancing was supposed to installed after development) also. Now lake is in very bad condition. \nWe request this group, if it is possible to present this complaint to appropriate authorities and get renovation work completed.\n\nThanks,\nPrahlad",Desilting - Lakes
382,Stray Dogs,"Stray Animals, Insects",dog,dogs bark,"5,6,7,8",there are so many dogs they always bark  we can sleep in night we already complaint but we didnt get any responce.\n isro quarters near hmt watch fact.jalahalli-13,Stray Dogs
383,Traffic,Traffic and Road Safety,traffic,driving rashly,"3,4 ",Has been driving rashly in jam and continously honking,Traffic
384,Traffic,Traffic and Road Safety,roads,road blocked,"9,10,11 ","HI Guys,\n\nRecently from Dalmia circle to Bannerghatta road is blocked, we cant take right from signal.",Illegal posters and Hoardings
385,Lakes - Others,Lakes,lake,lake polluted,"2,12,13",The lake on Anjanapura road is full of weeds and is highly polluted.\nThis lake was cleaned about 5 years back and no proper maintenance is carried out. \ncan the relevant authorities take note of this and get this cleaned.,Desilting - Lakes
386,Garbage and Unsanitary Practices - Others,Garbage and Unsanitary Practices,garbage,garbage piled,"70,71","Hi Team,\n\nBBMP lorry came to pick up garbage but said they would not pick up the garbage from 5th cross road and they will only pick up from main road. Despite regular complaints no action has been taken and its creating a menace resulting in lot of mosquitos in our apartment and also leaving a bad odour. Request you to please help us with the same on priority..this garbage pileup is their in front of our building for over 2 months now",Garbage
387,Repair of streetlights,Maintenance of Roads and Footpaths,street light,Street light not working,"17,18,19,20,21","Ward -73 , Chowdeshwarinagar 3rd Main, 5th Cross, Near Shaneshwara Temple ,Police Chowki ,Laggere - 560058.\nStreet lights are not working from past 5 days , Due to bad road conditions residents  are not able to walk ,residents have to face trouble in the pitch dark colony. This can also attracted troublemakers who will be waiting for there opportunity. Please help to resolve the issue as soon as possible.",Bad Roads
388,Traffic,Traffic and Road Safety,vechicle,loud vehicles,"10,4","Dear Sir/Madam,\nThe vehicles on the street are extremely loud, almost ear splitting. Kindly take action. We have a lot of senior citizens living in this area & the noise is a nuisance. I\'m sure the sound of these vehicles are above the allowed sound decibels, almost double I can say. The problem should be solved at the root. Some rules have to come into force starting from the manufacturers of these vehicles to the local garages which help the youngsters in increasing the sound of their vehicles. Please resolve this for good. Thank you",Traffic
389,Bad Roads,Maintenance of Roads and Footpaths,roads,road bad,"5,6,7,8,9 ","From Past 4 years road condition is very bad, Due to raining that mud road is even more worst people can\'t even stand. \n\nAll garbage also put in the same place even making it smelly.\n\nPFA.(attachment is a google pic but my area is looking worst then that)",Garbage
390,No Sewage Drains,Sewage and Storm Water Drains,sewage,cleaning sewage waste,"24,3,4","Dear Sir,\nDrainage waste they will take out every time but they won\'t clean up we should complain every time then they are cleaning so please help me out for cleaning this because of this mosquito is more opposite we have government hospital so please take care and forward to concern person and clear this as soon as possible",Garbage
391,Bad Roads,Maintenance of Roads and Footpaths,roads,no tarred roads,"18,19,20,21 ","Our ENTIRE AREA is dug up as they laid new drainage and water supply pipes. I can barely find tarred roads as every two homes have got manholes now (just imagine the condition what the JCBs have done to our area roads). Not sure how helpful that is. Please start the work of laying out tar as the whole area needs it badly. All our homes/vehicles are covered in layers of dust EVERYDAY. No matter how cleanly you wipe/wash things off, the next morning, everything is covered in dust from the dug road. \n\nI am sure many are already suffering from dust in their food, water though they live in a closed home in Mathikere.",Manholes
392,Traffic,Traffic and Road Safety,roads,one way road,"13,14,15","Hi,\n\nIts was very smooth from last few months by making the one way road from madivala to st johns now while entering into the city takes a heavy traffic from silk board to st johns as its changed to two way, because of this the vehicles are stuck in silk board junction and its moves slow till st johns. To cross 1km required 15 minutes of time and by making this changes it effecting the in and around areas.",Traffic
393,BMTC - Others,Public Transport - BMTC,bus,need more bmtc buses,"3,4,5,6 ",Complaint About Need more Bmtc buses for bus route number 365B,BMTC - Others
394,Bad Roads,Maintenance of Roads and Footpaths,roads,unscientific road humps,"25,26,27,28,29","At a junction at sahakara nagara near cavery school, recently there have been few road humps created, which was a good initiative. but the road hump is unscientific created, which is give lot of troubles to the travellers. i kindly request you to make the road hump scientifically so that there is ease of traffic movement",Traffic
395,Traffic,Traffic and Road Safety,traffic,traffic,"49,50,51,52,53,54,55,56","Hi, as noticed from several years i could see that the silkboard junction has to be changed to waiting room junction, as to cross the silk borad signal it takes more than 40 minutes of time, there is no where a straight bridge is prepared and there is no proper planning to make the traffic less, this has to be taken into consideration and a good proper way has to be provided at earliest",Traffic
396,Traffic,Traffic and Road Safety,roads,parking on road causing traffic jams,"12,13,14,15,16,17,18,19,20,21,22,23","Buses and other yellow board cards which stop at marathalli junction, park vehicles on road and due to which there is traffic jam over the whole underpass bridge, instead of underpass bridge it has to be called bus stop waiting road, as all the vehicles stand and wait until those buses move..there has to be strict action taken towards this issue",Traffic
397,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"4,5,6 ",1 km road is filled with potholes and overall mud road,Potholes
398,Garbage,Garbage and Unsanitary Practices,garbage,"no garbage collection,garbage segregation","14,15,16,17,18,19,20 ",I am a resident of TATA Nagar-Kodigehalli.\nIn my locality neither is their garbage segregation nor prompt collection of garbage. The contractor and his folks are least bothered about picking up garbage and demand money. Please look into the issue at the earliest.,Garbage
399,Electricity,Electricity and Power Supply,street light,streetlight not working,"1,2,3,4 ",Street light not working in 5th cross basaweshwara layout Nagashettyhalli Bangalore 94,"Trees, Parks and Playgrounds - Others"
400,Garbage,Garbage and Unsanitary Practices,garbage,No garbage vehicle,"21,22,23,24,25",We have been waiting for the garbage collectors and nobody seems to be turning up.  all the residents here are waiting for the garbage vehicle and it is been like we are storing all the garbage in front of all the houses. request you to resolve the issue as soon as possible.,Garbage
401,Garbage,Garbage and Unsanitary Practices,garbage,dump yard,"4,5","Street people made dump yard of a empty site. lot of musquitos , they made dump yard .in few days it will be a danger for health.","Trees, Parks and Playgrounds - Others"
402,Traffic,Traffic and Road Safety,helmet,no helemt,"1,2 ",No helmet - BTP,Traffic
403,Bad Roads,Maintenance of Roads and Footpaths,roads,road in bad condition,"3,17,18,19","Bellandur Main Road between Outer Ring Road Junction to Bellandur Gate (Sarjapura Road) is really in very bad condition. Drains are overflowing, road is full of potholes, pavements are virtually not walk-able. Please take immediate action.",Potholes
404,Traffic,Traffic and Road Safety,traffic,traffic,"1,2 ",Traffic issues near KG Halli entrance,Traffic
405,New Bus Shelters,Public Transport - BMTC,bus,no bus shelter,"3,4,5",There is no bus shelter near Annapurna bakery which is right present in the entrance to KG Halli.Residents stand in front of bakery for the bus which creates lot of havoc and issues for the two and four wheelers.Kindly build a bus shelter.There has never been a bus shelter in decade,New Bus Shelters
406,Manholes,Maintenance of Roads and Footpaths,manhole,Open manhole,"1,2 ",Open manhole at the beginning of our street. It is filled up with soil and silt. Please clean it and close it. It smells bad at night time.,Manholes
407,Traffic,Traffic and Road Safety,lake,lake polluted,"3,4,5,6,7 ",The balandur lake area is partially poluted with chemical &amp; it creates the  puffiness which blast &amp; spreads on to the road with a very vague &amp; unbearable smell. These things are seen from past 6 to 7 months &amp; the government is not taking any action against this issue. Please do the needful in finding a solution so that the people in this area live happily without suffering from diseases and can also breath fresh air.,Desilting - Lakes
408,Garbage,Garbage and Unsanitary Practices,dustbin,dustbin,"9,10,11 ",To improve the city every road At lest maintain 2 Dustbin,Air Pollution
409,Stray Dogs,"Stray Animals, Insects",stray dogs,straydogs,"7,8 ","We have some serious issue with stray dogs as well as diseased dogs I see at electronic city wiprogate,Bangalore..by night time... Please eradicate this so that we could go out safe at night...",Stray Dogs
410,Stray Dogs,"Stray Animals, Insects",dog,dogs,"1,2,3 ","too many dogs in kumaraswamy layout bangalore, near 32nd cross ,near mahavir gardenia apartment. they often attack passer by",Stray Dogs
411,Stray Dogs,"Stray Animals, Insects",dog,dogs menance,"5,6 ","A pack of 25 odd dogs has become a menace in 1st Cross, 2nd phase, 4th block BSK 3rd Stage,  near Sri vidyanagar bus terminus.  Residents are scared to go out leave alone young children. Repeated complaints  have fallen on dead ears. Request the competent authorities to look into this and allow us to have a good sleep at night. .",Stray Dogs
412,Stray Dogs,"Stray Animals, Insects",dog,street dogs,"2,3 ","Many street Dogs are there at Chikka adugodi, 2nd cross, 3rd main near Venkateshwara Temple. disturbing the normal life of residents nearby by creating panic to kids, jumping towards the two wheeler's, Disturbing the sleep by barking sound at mid night. (at least 7 dogs at single junction)",Stray Dogs
413,Stray Dogs,"Stray Animals, Insects",dog,dog injured,"1,2 ",dog injured,Stray Dogs
414,Garbage,Garbage and Unsanitary Practices,garbage,irregular garbage collection,"3,4,5,6 ","Due to irregular collection of Garbage, Cows & dogs come here, which in turn dirty the place.",Garbage
415,Bad Roads,Maintenance of Roads and Footpaths,roads,build new lane,"22,23,24,25,26,27,28",BBMP has provided new roads in front of my lane and next to my lane but have skipped my lane.\nPlease build a new raod for our lane we pay the taxes properly.,Illegal posters and Hoardings
416,Stray Dogs,"Stray Animals, Insects",dog,dogs bark,"1,2,3,10",So many dogs in our area with diseases and bark so in the night and bark so follow our bike,Stray Dogs
417,Stray Dogs,"Stray Animals, Insects",dog,diseased dogs,"29,30 ","Hi Team,\n\nUlsoor ( Halasuru ) Main Channel Road is having a lot of diseased dogs and this causes a lot of issues to the health of people there as well indirectly",Stray Dogs
418,Garbage,Garbage and Unsanitary Practices,garbage,garbage dumped,"1,2 ","Garbage dumped all over  Kadirenahlli. I am surprised at the apathy of the residents of high end apartments, who live in their ivory towers.",Garbage
419,Garbage,Garbage and Unsanitary Practices,garbage,"garbage ,dumpyard","9,10,11 ","Everyday, the People come to the road to throw the Garbage. A Clean Road once upon a time has turned into a Dump Yard. We are unable to bear the Stench 24x7 and it worsens during Rains. It has also turned into an Accident Spot where people traveling through Two-Wheelers are slipping due to Sludge that is being formed and are getting hurt very badly. My Family Members are suffering from Allergies. Hence, Please solve this Problem as soon as possible.",Garbage
420,Bad Roads,Maintenance of Roads and Footpaths,roads,road in bad shape,"13,14,15,16,17,18,19,20,21,22,23,24","Just after crossing the Kodigehalli Railway crossing coming from Sahakar Nagara, the road is fully broken and it is really very difficult to commute. The road is n very bad shape after the water pipe work being done.",Sewage and Storm Water Drains - Others
421,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"12,12",I Would refer people to visit S.P.road and check out the garbage in that road.. itz really horrible????????,Garbage
422,Potholes,Maintenance of Roads and Footpaths,Pothole,huge and deep potholes,"25,26,27,28,29",The main road stretch from 14th cross till the 15th cross signal at JP nagar 2nd phase is in a very  sorry state with huge and deep potholes and there is lot of water flooding at the sides close to the signal. This causes a lot of problem for the vehicles at the signal as all try to move to the right lane to avoid the muck. I request the authorities to look into this matter and rectify the same at the earliest!,Potholes
423,Potholes,Maintenance of Roads and Footpaths,roads,pathetic conditon,"23,24,25","Hi,\nThis is to inform you that condition of Panathur Main road & Boganhalli Road is becoming pathethic day by day.There are lot of potholes whic makes very difficult to drive.\n\nPlease sir do something to repair roads.",Potholes
